MEMBER 0
press,hght,temp,dwpt,wdir,wspd
149.300000,14358.000000,-63.800000,-76.200000,15.000000,17.600000
147.200000,14445.000000,-64.500000,-77.600000,15.000000,18.000000
145.100000,14534.000000,-65.200000,-80.500000,17.000000,18.000000
143.000000,14622.000000,-65.300000,-81.200000,17.000000,18.300000
140.900000,14711.000000,-66.300000,-81.600000,17.000000,18.900000
138.900000,14799.000000,-67.000000,-80.900000,18.000000,18.700000
136.800000,14891.000000,-67.800000,-80.300000,19.000000,18.200000
134.700000,14983.000000,-68.700000,-80.000000,18.000000,18.500000
132.500000,15080.000000,-69.400000,-79.800000,17.000000,19.100000
130.500000,15172.000000,-70.300000,-79.800000,18.000000,18.800000
128.400000,15266.000000,-70.800000,-80.100000,19.000000,18.300000
126.400000,15362.000000,-71.000000,-80.800000,21.000000,17.600000
124.400000,15456.000000,-71.800000,-81.800000,22.000000,17.400000
122.400000,15552.000000,-72.300000,-82.600000,23.000000,16.200000
120.400000,15647.000000,-73.000000,-83.600000,25.000000,15.000000
118.400000,15743.000000,-73.800000,-84.000000,25.000000,14.100000
116.500000,15840.000000,-74.400000,-84.300000,28.000000,12.900000
114.600000,15934.000000,-74.900000,-85.100000,34.000000,12.200000
112.800000,16028.000000,-74.700000,-85.600000,43.000000,11.000000
111.000000,16122.000000,-75.300000,-86.800000,49.000000,9.900000
109.200000,16213.000000,-76.200000,-87.200000,50.000000,9.300000
107.500000,16302.000000,-77.200000,-87.600000,46.000000,8.600000
105.900000,16393.000000,-77.300000,-87.300000,46.000000,8.700000
104.200000,16485.000000,-78.100000,-88.200000,45.000000,9.300000
102.500000,16576.000000,-77.900000,-88.300000,39.000000,9.600000
100.900000,16666.000000,-78.200000,-88.300000,37.000000,9.000000
99.300000,16757.000000,-78.700000,-88.100000,35.000000,9.600000
97.800000,16846.000000,-79.000000,-88.000000,33.000000,11.800000
96.200000,16939.000000,-78.400000,-87.400000,33.000000,14.000000
94.700000,17030.000000,-78.600000,-88.000000,33.000000,14.800000
93.100000,17124.000000,-79.500000,-89.500000,35.000000,15.600000
91.600000,17219.000000,-79.000000,-89.700000,40.000000,15.300000
90.000000,17315.000000,-79.500000,-90.900000,42.000000,14.900000
88.500000,17413.000000,-79.700000,-91.600000,45.000000,14.100000
87.000000,17511.000000,-80.200000,-93.000000,46.000000,14.000000
85.500000,17609.000000,-78.300000,-91.500000,42.000000,14.300000
84.100000,17706.000000,-78.600000,-91.900000,44.000000,13.900000
82.600000,17804.000000,-77.200000,-91.100000,55.000000,12.700000
81.200000,17903.000000,-77.300000,-92.300000,59.000000,12.300000
79.800000,18001.000000,-77.700000,-93.300000,67.000000,12.000000
78.500000,18094.000000,-76.300000,-92.700000,75.000000,12.100000
77.200000,18191.000000,-75.600000,-92.300000,66.000000,11.500000
75.900000,18289.000000,-75.800000,-92.200000,54.000000,11.400000
74.700000,18382.000000,-76.800000,-93.000000,50.000000,12.100000
73.500000,18474.000000,-77.200000,-93.400000,53.000000,11.900000
72.400000,18564.000000,-77.100000,-93.600000,52.000000,10.800000
71.200000,18662.000000,-76.700000,-93.600000,42.000000,9.900000
70.000000,18760.000000,-76.100000,-93.700000,28.000000,9.700000
68.800000,18858.000000,-75.700000,-93.400000,21.000000,10.700000
67.600000,18962.000000,-76.100000,-94.200000,28.000000,12.400000
66.400000,19065.000000,-76.200000,-95.400000,39.000000,14.800000
65.200000,19170.000000,-74.800000,-94.600000,51.000000,16.600000
64.000000,19273.000000,-72.800000,-93.100000,63.000000,17.200000
62.900000,19376.000000,-72.600000,-93.900000,67.000000,15.500000
61.800000,19478.000000,-72.900000,-95.000000,66.000000,13.100000
60.800000,19572.000000,-71.600000,-95.800000,70.000000,14.600000
59.800000,19672.000000,-70.400000,-95.600000,81.000000,17.100000
58.800000,19772.000000,-70.600000,-95.200000,92.000000,16.600000
57.900000,19871.000000,-69.700000,-95.200000,93.000000,15.600000
56.900000,19969.000000,-69.700000,-94.100000,95.000000,15.800000
56.000000,20068.000000,-69.000000,-94.800000,104.000000,16.000000
55.000000,20171.000000,-68.700000,-94.300000,109.000000,15.300000
54.100000,20274.000000,-68.000000,-93.500000,109.000000,13.000000
53.200000,20378.000000,-68.800000,-95.400000,114.000000,11.200000
